Feature,Decomposition,Checkpoint,Combined
LUSTRE_STRIPE_SIZE,0.09293287992477417,0.09069731086492538,0.08575712144374847
POSIX_ACCESS2_COUNT,0.01981871947646141,0.05785209685564041,0.019667252898216248
POSIX_BYTES_READ,0.1596270054578781,0.04125707596540451,0.15906549990177155
POSIX_BYTES_WRITTEN,0.10752660036087036,0.1131555438041687,0.08870361000299454
POSIX_CONSEC_WRITES,0.0021498806308954954,0.04421637952327728,0.009971067309379578
POSIX_FILE_NOT_ALIGNED,0.0386788435280323,0.025559358298778534,0.037984833121299744
POSIX_MEM_ALIGNMENT,0.039302535355091095,0.029352447018027306,0.038094520568847656
POSIX_READS,0.036800142377614975,0.004598875064402819,0.038111768662929535
POSIX_RW_SWITCHES,0.04085277393460274,0.006959717720746994,0.037021707743406296
POSIX_SEQ_READS,0.03491266071796417,0.002391262911260128,0.04346666485071182
POSIX_SEQ_WRITES,0.016461603343486786,0.04471535608172417,0.02383970282971859
POSIX_SIZE_WRITE_100K_1M,0.05530248582363129,0.00893092155456543,0.06583236157894135
POSIX_STRIDE1_COUNT,0.03588172420859337,0.0901930034160614,0.047424789518117905
POSIX_WRITES,0.017291652038693428,0.0269050020724535,0.014691520482301712
nprocs,0.02152669057250023,0.0288534015417099,0.007534969598054886
