,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT
nprocs,1.0,0.4450698161850835,0.08949244411216208,0.13109589296800989,0.030518311607041538,,0.1488464793514538,0.28246591761954026,0.22363321215569656,0.3044181422890688,0.20858988669001988,0.05117142459558042,0.11346814350788607,0.2634936409515806,0.20018474055710367,0.2868111309753533,0.22165974361007731,0.13756231150076648,0.31788806629367367,0.3211885715249863,0.2841351853904934,0.17368845557278323,0.3110939075763664,-0.11103822326225335,0.162945799395792,0.15119363846197464,-0.10462430327164722,0.1705486438916039,0.12345274615562692,-0.1953255171942474,-0.3069720800763246,-0.34418919856252056,-0.4156240104016131,-0.07778098437160616,-0.16073802144012764,-0.18043277630444382,-0.11313619535345776,-0.21853527794384053,0.039542579821216436,0.2374255532122106,0.25418477701400966,0.32494501108715507,0.4110367667168938,0.39333125364621363,0.40155673454965324
POSIX_OPENS,0.4450698161850835,1.0,-0.28660320221595725,-0.3211786165019659,0.6386827751800093,,-0.2016933937763372,0.7035680302081394,0.608027909880152,0.5488779575685611,0.6344738520640124,0.4749893346863847,0.4011601016793131,0.706706288447895,0.6256659578607416,0.7033881506729219,0.6134957807423752,0.15358750148282305,0.7320661881167198,0.6761005025118466,0.6544636195095062,0.5099529600378349,0.6964152060283785,0.10140617664704926,0.5879575131649786,0.5788082795031938,0.0790088501904347,-0.03827108059118947,0.21649892808988278,-0.21241714305481896,-0.21276505117671893,-0.1692283237397585,-0.15226043679646314,-0.20050120004948607,-0.07363102243178826,-0.057796236693549004,-0.0320073074258926,-0.1166997126004978,-0.09695154851087155,0.1343399248175113,0.19227094826635785,0.5880232517732317,0.6119996447448313,0.6252834170507592,0.6710872639074512
LUSTRE_STRIPE_SIZE,0.08949244411216208,-0.28660320221595725,1.0,0.8256702240391466,-0.2504374973061944,,0.09943674283621629,-0.4887403479621096,-0.5092945751738036,-0.2452060290855196,-0.49516176558162556,-0.3303526930315758,-0.39873169412033327,-0.5201394460262777,-0.5363972777588956,-0.49101561286943873,-0.5085837283438811,-0.1245873623053065,-0.45360986216649335,-0.5219909961311113,-0.4079545287836327,-0.23781216709855865,-0.5168897492854536,-0.12898563001663904,-0.5138660597798983,-0.38303014253880924,-0.11864931692617699,-0.12040234900985455,-0.13464955940014034,0.21281143533920238,0.014190437017390811,-0.05355636912299651,-0.09457527909085901,-0.032248755553587964,-0.06293180406905069,-0.0777333099758351,-0.09246771061433699,0.2072946638240045,0.31910232291874807,0.07873406504985156,-0.11084925091345363,-0.4254926963504743,-0.4315927813528548,-0.4439257500145035,-0.41828687627660166
LUSTRE_STRIPE_WIDTH,0.13109589296800989,-0.3211786165019659,0.8256702240391466,1.0,-0.2868804453256564,,0.11807191791382796,-0.551931590531598,-0.5764023876788763,-0.2536406747115571,-0.5796866731872148,-0.3692900976454912,-0.4510321758522167,-0.608358357068266,-0.6230878311812358,-0.549682722189173,-0.5744165962434492,-0.13672675878175505,-0.5326481155655969,-0.6148948003927852,-0.4846224701750091,-0.28246308295750006,-0.6063434657450463,-0.0971955294654334,-0.6009444032918161,-0.4500079688239376,-0.13492023344861953,-0.13370325233986155,-0.11504322913706401,0.25616178858716515,0.045369442408528596,-0.0619024896465204,-0.09082522275977731,0.020664813807573772,-0.0627468545682864,-0.083711192596792,-0.08726335210256055,0.27063803776069717,0.3098239029696118,0.06869472466752663,-0.14714576424462694,-0.4584135941157139,-0.49784406723891017,-0.5238658023446511,-0.49363463566892307
POSIX_FILENOS,0.030518311607041538,0.6386827751800093,-0.2504374973061944,-0.2868804453256564,1.0,,-0.3572699973670283,0.21718185802072543,0.2655745344316072,0.028342522201621187,0.1730763156273467,0.32131917331764165,0.3824799296972721,0.24339405972171077,0.28778987486423835,0.22748324792414867,0.2680866936303966,0.2779104559376759,0.24941678578283102,0.2460350256003358,0.1038028276812846,0.048023216999630455,0.2535932465547801,0.297992648042919,0.23014027281542943,0.24196419456910317,0.30181151810834733,0.141085596754296,0.307066275179938,0.12537104757675302,0.1273023330392643,0.17587683034033463,0.182545977933415,0.0752617044039307,0.16784795789037113,0.1795416731055497,0.1464559764063756,0.011179788142401162,-0.03282271130072235,0.023988310604085267,0.08728210465619153,0.15176212263676722,0.1716043962242133,0.1749122673989501,0.1969580835118634
POSIX_MEM_ALIGNMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSIX_FILE_ALIGNMENT,0.1488464793514538,-0.2016933937763372,0.09943674283621629,0.11807191791382796,-0.3572699973670283,,1.0,-0.10181750234234219,-0.0334668706121733,-0.10229304835838618,-0.14569245722223687,-0.14731773671586088,-0.013402432833070051,-0.10146109995059478,-0.046591320997025565,-0.09709168377057906,-0.03581437454907187,0.12597387403452714,-0.09391332580851335,-0.018205466108567422,-0.11433261625768502,-0.04688966020650536,-0.09147654532201253,-0.04742174062107766,-0.05992324264008608,-0.05838525975560798,-0.07744893433983001,0.061039959234495504,0.06607938958131916,-0.06175247799585644,-0.1267851980449096,-0.14956450948865932,-0.18315474921303623,0.013089073361649354,-0.05834055286791824,-0.07298829682078462,-0.03149373834542519,-0.11362332315220146,-0.07355129343424104,-0.00039283013012046116,-0.038401481075032405,0.000788183897951196,0.02601352636404787,0.003230620296534382,0.01217500412632043
POSIX_READS,0.28246591761954026,0.7035680302081394,-0.4887403479621096,-0.551931590531598,0.21718185802072543,,-0.10181750234234219,1.0,0.6452745408797295,0.769856047251177,0.8402243799326569,0.6927147264007695,0.3111785795073719,0.9727092949814417,0.6884016831784355,0.9977142168333267,0.6492206081578272,0.13831224481520785,0.8168391394859418,0.8205702926237963,0.885987691768007,0.6550336196952643,0.913545852239053,0.12048215822518901,0.722281954155316,0.6101556052420668,-0.16547235443250308,-0.026633446219055834,0.1109249983498641,-0.26847868481848935,-0.169674399192259,-0.10758816537103516,-0.10145792299174163,-0.08581065674929843,0.005919440022130951,0.013377902987813078,0.06813824548894457,-0.21895909370357755,-0.19500149072349535,0.11801392320276569,0.2504052275886367,0.719760256865583,0.7250416385888481,0.7385900014362228,0.7575551269502749
POSIX_WRITES,0.22363321215569656,0.608027909880152,-0.5092945751738036,-0.5764023876788763,0.2655745344316072,,-0.0334668706121733,0.6452745408797295,1.0,0.5767394187334363,0.680990184673115,0.3178029578406341,0.7495364610929698,0.6932204245033985,0.9779715402615584,0.6478672654786635,0.9995026473853716,0.19393193926213828,0.7096944071100352,0.8804545271305473,0.6501092654164121,0.5098244474116782,0.6678812240437596,0.05662715276459332,0.9473542154942824,0.8185775922886456,0.07486788836604744,0.16623036386622794,0.24880046673081208,-0.33949065813533247,-0.2626914434206826,-0.19188228090047388,-0.17811068744314654,-0.0642351677434606,-0.0779828848649733,-0.06844686873836943,-0.023656772112170127,-0.3315907922394087,-0.3558935238550222,-0.10066404236602854,0.05485829376760395,0.7621931080159239,0.789075339001366,0.8168642220978942,0.8051061340453934
POSIX_SEEKS,0.3044181422890688,0.5488779575685611,-0.2452060290855196,-0.2536406747115571,0.028342522201621187,,-0.10229304835838618,0.769856047251177,0.5767394187334363,1.0,0.7919440687680507,0.501958737678246,0.2937011509493028,0.7336966853796076,0.5669651867000319,0.7625321223469521,0.5782455933085371,0.09219991259825103,0.6033012591802067,0.6314879141298898,0.8017697669533336,0.6233421523460476,0.6713203633936696,0.12403938417817513,0.6542647624571566,0.5287956645791563,-0.30806376593502366,0.04091648349681895,0.06000584432341159,-0.17245700082610915,-0.16057835678313193,-0.1065002529511981,-0.10453047348981549,0.02526034277010296,0.008921124950044369,0.01341894347924887,0.061689601743187154,-0.1291384155811396,-0.08601808305960712,0.023455856964490242,0.12137406215924951,0.5930780833107651,0.5830823097532747,0.6117004658486233,0.5974699344375268
