iter	Passed	Remaining
0	60	60491
1	63	31544
2	66	22035
3	71	17683
4	75	15059
5	77	12909
6	80	11383
7	82	10229
8	84	9341
9	87	8621
10	89	8035
11	91	7544
12	93	7127
13	96	6770
14	98	6457
15	100	6187
16	102	5952
17	105	5738
18	107	5550
19	109	5376
20	113	5271
21	115	5125
22	117	4992
23	119	4877
24	122	4765
25	124	4663
26	126	4565
27	128	4475
28	132	4420
29	134	4347
30	137	4282
31	139	4219
32	141	4160
33	144	4101
34	146	4049
35	149	3997
36	151	3950
37	154	3905
38	156	3862
39	159	3822
40	161	3782
41	164	3742
42	166	3707
43	169	3672
44	171	3639
45	173	3606
46	176	3575
47	178	3546
48	181	3516
49	183	3488
50	186	3461
51	188	3436
52	190	3411
53	193	3387
54	195	3366
55	198	3346
56	200	3324
57	203	3303
58	205	3284
59	208	3265
60	210	3246
61	213	3226
62	215	3208
63	218	3191
64	220	3174
65	223	3157
66	225	3140
67	227	3124
68	230	3108
69	233	3102
70	235	3087
71	238	3074
72	241	3060
73	243	3046
74	245	3032
75	248	3019
76	250	3006
77	253	2993
78	255	2981
79	258	2970
80	260	2960
81	263	2948
82	265	2936
83	268	2930
84	271	2918
85	273	2908
86	276	2898
87	278	2888
88	281	2877
89	283	2867
90	286	2858
91	288	2849
92	291	2839
93	293	2830
94	296	2821
95	298	2811
96	301	2802
97	303	2793
98	305	2784
99	308	2777
100	311	2768
101	313	2760
102	316	2752
103	318	2744
104	321	2736
105	323	2729
106	326	2721
107	328	2712
108	330	2704
109	333	2696
110	337	2703
111	339	2695
112	342	2687
113	344	2679
114	347	2673
115	349	2666
116	352	2659
117	354	2652
118	357	2646
119	359	2639
120	362	2632
121	364	2624
122	367	2618
123	369	2610
124	372	2604
125	374	2598
126	377	2592
127	379	2586
128	382	2581
129	384	2575
130	387	2569
131	389	2564
132	392	2558
133	395	2553
134	397	2547
135	400	2542
136	402	2536
137	405	2531
138	407	2526
139	410	2521
140	412	2515
141	415	2510
142	418	2505
143	420	2499
144	423	2494
145	425	2489
146	428	2483
147	430	2479
148	433	2474
149	435	2469
150	438	2464
151	440	2459
152	443	2454
153	445	2450
154	448	2445
155	451	2441
156	453	2436
157	456	2431
158	458	2426
159	461	2421
160	463	2417
161	466	2412
162	469	2408
163	471	2404
164	474	2399
165	476	2396
166	479	2391
167	481	2386
168	484	2383
169	487	2378
170	489	2374
171	492	2370
172	495	2366
173	497	2363
174	500	2358
175	502	2354
176	505	2349
177	507	2345
178	510	2341
179	512	2336
180	515	2332
181	518	2328
182	520	2323
183	523	2319
184	525	2315
185	528	2311
186	530	2307
187	533	2303
188	535	2299
189	538	2294
190	540	2290
191	543	2286
192	545	2282
193	548	2278
194	551	2274
195	553	2270
196	556	2266
197	558	2262
198	561	2258
199	563	2255
200	566	2250
201	568	2247
202	571	2243
203	574	2240
204	576	2236
205	579	2232
206	581	2228
207	584	2225
208	586	2221
209	589	2217
210	592	2214
211	594	2210
212	597	2206
213	599	2203
214	602	2199
215	604	2195
216	607	2191
217	609	2187
218	612	2183
219	614	2180
220	617	2176
221	620	2173
222	622	2169
223	625	2165
224	627	2162
225	630	2158
226	632	2155
227	635	2151
228	638	2148
229	640	2144
230	643	2140
231	645	2137
232	648	2133
233	650	2129
234	653	2126
235	655	2123
236	658	2119
237	661	2116
238	663	2112
239	666	2110
240	668	2106
241	671	2102
242	673	2099
243	676	2095
244	678	2091
245	681	2088
246	683	2084
247	686	2081
248	689	2078
249	691	2074
250	694	2071
251	696	2068
252	699	2064
253	701	2061
254	704	2057
255	706	2054
256	709	2050
257	711	2047
258	714	2043
259	716	2040
260	719	2037
261	722	2033
262	724	2030
263	727	2027
264	729	2024
265	732	2021
266	734	2017
267	737	2014
268	739	2010
269	742	2007
270	745	2004
271	747	2001
272	750	1997
273	752	1994
274	755	1990
275	757	1987
276	760	1984
277	762	1981
278	765	1978
279	768	1975
280	770	1972
281	773	1968
282	775	1965
283	778	1962
284	782	1963
285	785	1960
286	787	1957
287	790	1954
288	793	1951
289	795	1947
290	798	1944
291	800	1941
292	803	1938
293	805	1935
294	808	1931
295	810	1928
296	813	1925
297	815	1922
298	818	1918
299	821	1915
300	823	1912
301	825	1909
302	828	1905
303	831	1902
304	833	1899
305	836	1896
306	838	1893
307	841	1890
308	843	1886
309	846	1883
310	848	1880
311	851	1877
312	853	1874
313	856	1871
314	858	1867
315	861	1864
316	863	1861
317	866	1858
318	868	1854
319	871	1851
320	873	1848
321	876	1845
322	878	1842
323	881	1839
324	884	1836
325	886	1832
326	889	1829
327	891	1826
328	894	1823
329	896	1820
330	898	1816
331	901	1813
332	904	1810
333	906	1807
334	909	1804
335	911	1801
336	914	1798
337	916	1795
338	919	1792
339	921	1788
340	924	1785
341	926	1782
342	929	1779
343	931	1776
344	934	1773
345	936	1770
346	939	1767
347	941	1764
348	944	1761
349	946	1758
350	949	1754
351	951	1751
352	954	1748
353	956	1745
354	959	1742
355	961	1739
356	964	1736
357	966	1733
358	969	1730
359	971	1727
360	974	1724
361	976	1721
362	979	1718
363	982	1716
364	984	1712
365	987	1710
366	989	1706
367	992	1704
368	994	1701
369	997	1698
370	999	1695
371	1002	1692
372	1004	1689
373	1007	1685
374	1009	1682
375	1012	1679
376	1014	1676
377	1017	1673
378	1019	1670
379	1022	1667
380	1024	1664
381	1027	1662
382	1029	1658
383	1032	1655
384	1034	1653
385	1037	1649
386	1039	1647
387	1042	1644
388	1044	1641
389	1047	1638
390	1049	1635
391	1052	1632
392	1055	1629
393	1057	1626
394	1060	1623
395	1062	1620
396	1065	1617
397	1067	1614
398	1069	1611
399	1072	1608
400	1074	1605
401	1077	1602
402	1080	1599
403	1082	1596
404	1085	1594
405	1087	1591
406	1090	1588
407	1092	1585
408	1095	1582
409	1097	1579
410	1100	1577
411	1102	1574
412	1105	1571
413	1108	1568
414	1110	1565
415	1113	1562
416	1115	1559
417	1118	1557
418	1120	1554
419	1123	1551
420	1125	1548
421	1128	1545
422	1130	1542
423	1133	1539
424	1135	1536
425	1138	1533
426	1140	1530
427	1143	1527
428	1145	1525
429	1148	1522
430	1150	1519
431	1153	1516
432	1155	1513
433	1158	1510
434	1160	1507
435	1163	1504
436	1165	1501
437	1168	1499
438	1170	1496
439	1173	1493
440	1175	1490
441	1178	1487
442	1180	1484
443	1183	1481
444	1185	1478
445	1188	1475
446	1190	1472
447	1193	1470
448	1195	1467
449	1198	1464
450	1200	1461
451	1203	1458
452	1205	1455
453	1208	1453
454	1210	1450
455	1213	1447
456	1215	1444
457	1218	1441
458	1220	1438
459	1223	1436
460	1225	1433
461	1228	1430
462	1231	1427
463	1233	1424
464	1235	1422
465	1238	1419
466	1241	1416
467	1243	1413
468	1246	1411
469	1248	1408
470	1251	1405
471	1253	1402
472	1256	1399
473	1259	1397
474	1261	1394
475	1264	1391
476	1266	1389
477	1269	1386
478	1272	1383
479	1275	1381
480	1277	1378
481	1280	1376
482	1282	1373
483	1285	1370
484	1287	1367
485	1290	1364
486	1292	1361
487	1295	1358
488	1297	1356
489	1300	1353
490	1302	1350
491	1305	1347
492	1307	1345
493	1310	1342
494	1313	1339
495	1315	1336
496	1317	1333
497	1320	1331
498	1322	1328
499	1325	1325
500	1328	1322
501	1330	1319
502	1333	1317
503	1335	1314
504	1338	1311
505	1340	1308
506	1343	1305
507	1345	1303
508	1348	1300
509	1350	1297
510	1352	1294
511	1355	1291
512	1358	1289
513	1360	1286
514	1363	1283
515	1365	1280
516	1368	1278
517	1370	1275
518	1372	1272
519	1375	1269
520	1378	1266
521	1380	1264
522	1383	1261
523	1385	1258
524	1388	1255
525	1390	1253
526	1392	1250
527	1395	1247
528	1398	1244
529	1400	1241
530	1402	1239
531	1405	1236
532	1407	1233
533	1410	1230
534	1412	1228
535	1415	1225
536	1417	1222
537	1420	1219
538	1422	1216
539	1425	1214
540	1427	1211
541	1430	1208
542	1432	1205
543	1435	1203
544	1437	1200
545	1440	1197
546	1442	1194
547	1445	1192
548	1448	1189
549	1450	1186
550	1453	1184
551	1455	1181
552	1458	1178
553	1460	1175
554	1463	1173
555	1465	1170
556	1468	1167
557	1470	1164
558	1473	1162
559	1475	1159
560	1478	1156
561	1480	1153
562	1482	1151
563	1485	1148
564	1487	1145
565	1490	1142
566	1492	1140
567	1495	1137
568	1497	1134
569	1500	1132
570	1503	1129
571	1505	1126
572	1508	1123
573	1510	1121
574	1513	1118
575	1515	1115
576	1517	1112
577	1520	1110
578	1522	1107
579	1525	1104
580	1527	1101
581	1530	1099
582	1532	1096
583	1535	1093
584	1537	1090
585	1540	1088
586	1542	1085
587	1545	1082
588	1547	1079
589	1550	1077
590	1552	1074
591	1554	1071
592	1557	1068
593	1560	1066
594	1562	1063
595	1565	1060
596	1567	1058
597	1570	1055
598	1572	1052
599	1575	1050
600	1577	1047
601	1580	1044
602	1582	1041
603	1585	1039
604	1587	1036
605	1589	1033
606	1592	1030
607	1594	1028
608	1597	1025
609	1599	1022
610	1602	1020
611	1604	1017
612	1607	1014
613	1609	1012
614	1612	1009
615	1614	1006
616	1617	1003
617	1619	1001
618	1622	998
619	1624	995
620	1627	992
621	1629	990
622	1632	987
623	1634	984
624	1637	982
625	1639	979
626	1642	976
627	1644	974
628	1646	971
629	1649	968
630	1651	965
631	1654	963
632	1656	960
633	1659	958
634	1662	955
635	1664	952
636	1667	950
637	1669	947
638	1672	944
639	1674	941
640	1677	939
641	1679	936
642	1682	933
643	1684	931
644	1687	928
645	1689	925
646	1692	923
647	1694	920
648	1697	917
649	1699	915
650	1702	912
651	1704	909
652	1707	907
653	1709	904
654	1712	901
655	1714	899
656	1717	896
657	1719	893
658	1722	891
659	1724	888
660	1727	885
661	1729	883
662	1732	880
663	1734	877
664	1737	875
665	1739	872
666	1742	869
667	1744	867
668	1747	864
669	1749	861
670	1752	859
671	1754	856
672	1757	853
673	1759	851
674	1762	848
675	1765	845
676	1767	843
677	1770	840
678	1772	838
679	1775	835
680	1777	832
681	1780	830
682	1782	827
683	1785	824
684	1787	822
685	1790	819
686	1792	816
687	1795	814
688	1797	811
689	1800	808
690	1802	806
691	1805	803
692	1807	800
693	1810	798
694	1812	795
695	1815	792
696	1817	790
697	1820	787
698	1822	784
699	1825	782
700	1828	779
701	1830	777
702	1833	774
703	1835	771
704	1837	769
705	1840	766
706	1842	763
707	1845	761
708	1848	758
709	1850	755
710	1853	753
711	1855	750
712	1858	747
713	1860	745
714	1863	742
715	1865	740
716	1868	737
717	1870	734
718	1872	731
719	1875	729
720	1877	726
721	1880	724
722	1882	721
723	1885	718
724	1887	716
725	1890	713
726	1892	710
727	1895	708
728	1897	705
729	1900	702
730	1902	700
731	1905	697
732	1907	694
733	1910	692
734	1912	689
735	1915	687
736	1917	684
737	1920	681
738	1922	679
739	1925	676
740	1928	673
741	1930	671
742	1932	668
743	1935	665
744	1937	663
745	1940	660
746	1942	658
747	1945	655
748	1947	652
749	1950	650
750	1952	647
751	1955	644
752	1957	642
753	1960	639
754	1962	636
755	1965	634
756	1967	631
757	1970	629
758	1972	626
759	1975	623
760	1977	621
761	1980	618
762	1983	615
763	1985	613
764	1987	610
765	1990	608
766	1992	605
767	1995	602
768	1997	600
769	2000	597
770	2002	594
771	2005	592
772	2007	589
773	2010	587
774	2012	584
775	2015	581
776	2018	579
777	2020	576
778	2023	573
779	2025	571
780	2028	568
781	2030	566
782	2032	563
783	2035	560
784	2038	558
785	2040	555
786	2043	552
787	2045	550
788	2048	547
789	2050	545
790	2052	542
791	2055	539
792	2057	537
793	2060	534
794	2062	531
795	2065	529
796	2067	526
797	2070	524
798	2072	521
799	2075	518
800	2077	516
801	2080	513
802	2082	510
803	2085	508
804	2087	505
805	2090	503
806	2092	500
807	2095	497
808	2097	495
809	2100	492
810	2102	490
811	2105	487
812	2107	484
813	2110	482
814	2112	479
815	2115	477
816	2117	474
817	2120	471
818	2123	469
819	2125	466
820	2128	464
821	2130	461
822	2133	458
823	2135	456
824	2138	453
825	2140	450
826	2143	448
827	2145	445
828	2148	443
829	2150	440
830	2153	437
831	2155	435
832	2158	432
833	2160	430
834	2163	427
835	2165	424
836	2168	422
837	2170	419
838	2173	417
839	2175	414
840	2178	411
841	2181	409
842	2183	406
843	2186	404
844	2188	401
845	2190	398
846	2193	396
847	2195	393
848	2198	391
849	2200	388
850	2203	385
851	2205	383
852	2208	380
853	2210	377
854	2213	375
855	2215	372
856	2218	370
857	2221	367
858	2223	365
859	2226	362
860	2228	359
861	2231	357
862	2233	354
863	2236	351
864	2238	349
865	2241	346
866	2243	344
867	2246	341
868	2248	338
869	2251	336
870	2253	333
871	2256	331
872	2258	328
873	2261	326
874	2263	323
875	2266	320
876	2268	318
877	2271	315
878	2274	313
879	2276	310
880	2279	307
881	2281	305
882	2283	302
883	2286	300
884	2288	297
885	2291	294
886	2294	292
887	2296	289
888	2298	287
889	2301	284
890	2304	281
891	2306	279
892	2309	276
893	2311	274
894	2314	271
895	2316	268
896	2319	266
897	2322	263
898	2324	261
899	2326	258
900	2329	255
901	2331	253
902	2334	250
903	2336	248
904	2339	245
905	2341	242
906	2344	240
907	2346	237
908	2349	235
909	2351	232
910	2354	229
911	2356	227
912	2359	224
913	2361	222
914	2363	219
915	2366	217
916	2369	214
917	2371	211
918	2373	209
919	2376	206
920	2379	204
921	2381	201
922	2384	198
923	2386	196
924	2389	193
925	2391	191
926	2394	188
927	2396	185
928	2399	183
929	2401	180
930	2404	178
931	2406	175
932	2409	173
933	2412	170
934	2414	167
935	2417	165
936	2419	162
937	2422	160
938	2424	157
939	2427	154
940	2429	152
941	2432	149
942	2434	147
943	2437	144
944	2439	141
945	2442	139
946	2444	136
947	2447	134
948	2449	131
949	2452	129
950	2454	126
951	2456	123
952	2459	121
953	2461	118
954	2464	116
955	2466	113
956	2469	110
957	2471	108
958	2474	105
959	2476	103
960	2479	100
961	2481	98
962	2484	95
963	2486	92
964	2489	90
965	2491	87
966	2494	85
967	2496	82
968	2499	79
969	2501	77
970	2504	74
971	2506	72
972	2509	69
973	2511	67
974	2514	64
975	2516	61
976	2519	59
977	2521	56
978	2524	54
979	2526	51
980	2529	48
981	2531	46
982	2534	43
983	2536	41
984	2538	38
985	2541	36
986	2543	33
987	2546	30
988	2548	28
989	2551	25
990	2553	23
991	2556	20
992	2558	18
993	2561	15
994	2563	12
995	2566	10
996	2568	7
997	2571	5
998	2573	2
999	2576	0
