,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT
nprocs,1.0,0.3007961263855458,0.10685320389652951,0.12552921666520397,0.04127574189587891,,0.2276374173270227,0.26461940653392557,0.15614396854263926,0.25866385472277653,0.2225446646214189,0.05318601737537934,0.06291512765528119,0.2647504835322503,0.1409718263192349,0.2749453631264315,0.15196332303842033,0.08693418201411528,0.27632859855109404,0.21143868402552404,0.22120274037774795,0.0770945234650142,0.30474424696327373,-0.14563779401666124,0.11956190382255819,0.08045099004807733,-0.2255496563161493,-0.0853953628173097,-0.09172101486295083,-0.12565505214495343,-0.1555937740250191,-0.18046997209099078,-0.2622091696015136,-0.12210757064275432,-0.1328634282253485,-0.15760218854144492,-0.2189361205750892,-0.07392618624521152,0.0961022782202768,0.20412998916119604,0.16349739325517723,0.1970420756396627,0.2580700865056819,0.25123136347264174,0.23525674865292495
POSIX_OPENS,0.3007961263855458,1.0,-0.28474932396360153,-0.2972908313983856,0.5357732733737534,,-0.06469346552994168,0.5686878252959839,0.4494130548980991,0.5030332356995915,0.5562404597314222,0.2813561518009549,0.19227110897529026,0.5680110447945506,0.4632750668390434,0.569287035637827,0.45420357566995767,0.1001668603007237,0.5832282831149416,0.5062751393503867,0.5252264299291904,0.4227147153742602,0.551734910682346,-0.0067518063431488435,0.4308362695124747,0.42095310319646195,-0.09288379438961387,-0.07490856914584676,0.057587207694655786,-0.22048023875305042,-0.21157181097308247,-0.19435993294245374,-0.16942243535446302,-0.22329162568804348,-0.1888903089388803,-0.18189772301853108,-0.14895820686723513,-0.05783033750507245,-0.05219363469131639,0.08764102167567529,0.05303816438334918,0.44007374799274146,0.46907924799840084,0.48206021273688116,0.5087765720921443
LUSTRE_STRIPE_SIZE,0.10685320389652951,-0.28474932396360153,1.0,0.8675101371281746,-0.2440114766901782,,0.11860110694100148,-0.355794926488296,-0.359999447984793,-0.25255521985267326,-0.36037285896978805,-0.2146256922159298,-0.18475343220883508,-0.3665091117797915,-0.3746419259768916,-0.35446822994748534,-0.3593993904232308,-0.18724004240972902,-0.3570977200583625,-0.3741969518918966,-0.3543917959858104,-0.22819132229832198,-0.3745852907365803,-0.12560746371572856,-0.3697911139178854,-0.34654516167460486,-0.06061066081656111,-0.16416325549943864,-0.15578644323756122,0.1886671290432829,0.0784582361328863,0.024019049385951514,-0.07491441667866783,0.05921210496806198,0.055488309444439,0.02471770993575223,-0.07735794624610069,0.13995465790710543,0.18268677447745654,0.08368462727010648,-0.043407940228932664,-0.3300706170775574,-0.35349495457399044,-0.3695257155828308,-0.36220079983900355
LUSTRE_STRIPE_WIDTH,0.12552921666520397,-0.2972908313983856,0.8675101371281746,1.0,-0.24823088158259268,,0.1330350716450616,-0.36318110269847254,-0.37015610350001205,-0.24827959128587254,-0.37755624113299435,-0.19593717906372518,-0.17576919452635933,-0.3858148657763917,-0.3919826216042879,-0.3610523844506775,-0.36960808584842425,-0.17591058318203015,-0.3850764150162681,-0.39339153953392414,-0.37942752210360053,-0.23818845184085635,-0.399912475447033,-0.06524996848333355,-0.3916410191649208,-0.3671451811387946,-0.043753019088159706,-0.15658179656973478,-0.11478302748010676,0.2125530196247639,0.10357006353330886,0.04418833746109045,-0.039775761561695086,0.10330245497777116,0.0830723427854358,0.050841907258190974,-0.032467789184267445,0.1655465818080306,0.17848652114476607,0.08941608409314022,-0.046200055302435886,-0.32612125697906724,-0.3659001725273143,-0.3916618925135863,-0.3849567125452012
POSIX_FILENOS,0.04127574189587891,0.5357732733737534,-0.2440114766901782,-0.24823088158259268,1.0,,-0.2877255335403477,0.15816167563562414,0.16483506388994767,0.05330438281464331,0.10979035260171026,0.2502773695434539,0.2704978388917551,0.1656529345380456,0.1791766489288733,0.16337905374823744,0.168229583864529,0.2524490589239933,0.18761828540290842,0.17037030458272592,0.09210051214252996,0.10287063596105053,0.19041217727618348,0.24582035894020834,0.136670262318205,0.1818759574333008,0.21525853421971444,0.21173312738646446,0.2919044377244075,0.10721472559383186,0.09209273497837148,0.1185507518489706,0.1400937996748755,0.10314465023881113,0.11736227176970766,0.1275265167609914,0.15409739197718228,0.014305916331805864,-0.004628658515541685,-0.002440840193841243,0.036773696980551655,0.10542740643691476,0.13510434495903456,0.14295910731956143,0.16061098105718213
POSIX_MEM_ALIGNMENT,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSIX_FILE_ALIGNMENT,0.2276374173270227,-0.06469346552994168,0.11860110694100148,0.1330350716450616,-0.2877255335403477,,1.0,0.004276071872814414,0.08379553169550161,-0.02047786232938879,-0.08881981449024383,-0.2265948541828051,0.052246426149740836,0.008933423450645062,0.07577589929444459,0.008324939353221114,0.08065537517781154,0.15435336264745203,0.018691766717758303,0.09333852910548875,-0.018556812344414177,-0.04942495776192638,0.01753786276054708,-0.20136712293273623,0.052051514625974,0.02356669659351286,-0.23353613796353953,-0.15613134387623348,-0.14505298695810712,-0.17162897962894041,-0.24640458003226973,-0.2623897529765818,-0.3156890659635967,-0.10852067342140495,-0.20617548235172425,-0.2239862531797507,-0.24761493179994562,-0.15421577277635495,-0.06638237459773236,0.1448243049152453,0.0009014533877958045,0.07772601730285889,0.10470017149625371,0.0867873398236626,0.08369866037624796
POSIX_READS,0.26461940653392557,0.5686878252959839,-0.355794926488296,-0.36318110269847254,0.15816167563562414,,0.004276071872814414,1.0,0.4713681742364269,0.7324179369881019,0.6992205407219235,0.35029471656476835,0.10997092147513066,0.9321180278070963,0.49003714372736584,0.9751929985712968,0.4727697518739997,0.03843377737515855,0.7301525227806903,0.6476105987547246,0.7894340357169825,0.5506888340242169,0.7423871308699641,-0.02417263873572621,0.5143797975660479,0.444301544281375,-0.23258613436065417,-0.1279641964391779,-0.022737570071811725,-0.2721852383756361,-0.2239026480124385,-0.19991452061941214,-0.16880181939844244,-0.2113767700494064,-0.18667528831360083,-0.17222163757733783,-0.12478024355124055,-0.09190328842594488,-0.09871125445271849,0.07416421067534412,0.06514974321762977,0.5726852752157764,0.5648866879638728,0.5911582153391757,0.6052458798638963
POSIX_WRITES,0.15614396854263926,0.4494130548980991,-0.359999447984793,-0.37015610350001205,0.16483506388994767,,0.08379553169550161,0.4713681742364269,1.0,0.48138514310991654,0.4697184740965588,0.1208162570506128,0.44180247481107726,0.4754717809166952,0.9682257903241251,0.4705382545907655,0.9920294111229486,0.17882836464981167,0.5069720065346727,0.7727173591242898,0.4740183353570474,0.3811880574227206,0.4059579291118638,-0.05871478843908975,0.8893876889882484,0.6797534198059593,-0.10320597889566631,-0.016043586433314768,0.06766097028293834,-0.2826903536963347,-0.266258390626684,-0.24903456041460773,-0.23110946109788585,-0.18387248721184618,-0.22505501309837897,-0.22124091100699836,-0.18722222343690428,-0.25177218536005,-0.1988749071145801,-0.03377156495009642,-0.04544554040293097,0.5771219540720202,0.6283556891756608,0.6547304475914313,0.6487871591346872
POSIX_SEEKS,0.25866385472277653,0.5030332356995915,-0.25255521985267326,-0.24827959128587254,0.05330438281464331,,-0.02047786232938879,0.7324179369881019,0.48138514310991654,1.0,0.6932955493802639,0.2838262272265062,0.10865004469355596,0.6864397412829158,0.47432201359730924,0.7228015969603749,0.4810414537348724,-0.02939160615134066,0.564006293866672,0.5514184640551538,0.7284790411285893,0.5407916542910173,0.5528041099059273,0.002353522039888224,0.5212075909182705,0.4161024631472198,-0.24996921598442334,-0.05885955420843709,-0.05337531446031349,-0.22243089894264179,-0.20916937342824526,-0.18960724674568885,-0.16312415076108303,-0.1509947405200328,-0.17210265145344517,-0.16217951777543915,-0.13467288155659557,-0.09491032203493756,-0.07872032956124325,0.003978979489289233,0.021363564155491316,0.5027603196560629,0.4971534812760421,0.5237744076597001,0.5180905537605309
