,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT
nprocs,1.0,0.7140089822946695,0.14977157381903333,0.19789070999537478,0.5655584201705446,0.0,0.17405319963578392,0.6944994583130392,0.6450054547273008,0.7000642184444669,0.6808894247386792,0.7094836357760895,0.6679062346859771,0.692790893676916,0.6363120094010669,0.6926670412565255,0.6435173011598551,0.3602822140810469,0.6630485337461154,0.666558783734243,0.6826567191792763,0.6342226028280382,0.6804299981898301,0.46079673333511173,0.6325750160646292,0.583436721025308,0.42045584393397184,0.40050665084179876,0.4338141301841325,0.5048257959451377,0.47095587622599405,0.43917615538968013,0.41491802011895934,0.46167941026264553,0.3970037505584037,0.3629807791504728,0.3024279992200474,0.6025157336814552,0.605909203378117,0.6006294939088412,0.5950921780661946,0.674275589293097,0.6457545335699152,0.6366498823153957,0.6220046373216741
POSIX_OPENS,0.7140089822946695,1.0,0.19761594237122576,0.25927158135459,0.7743470214549263,0.0,0.2744392965180656,0.822311213256474,0.8010432381439808,0.8368035129498556,0.8432270039570808,0.8216927467343222,0.8051701445000828,0.8192905212439433,0.7971546747571964,0.818648560094506,0.8002519255938411,0.5653749473899949,0.7958401399232642,0.8121969579328994,0.8188834634778129,0.7782621843620053,0.7999737293241095,0.6111927933810253,0.7932766149011401,0.7726547430395937,0.596467452303444,0.5521050551555943,0.5925117379062,0.6402461130131811,0.5985391431305962,0.572373541891397,0.5546814950006318,0.6260663576049793,0.5563316052112262,0.532889115550944,0.47249964836157676,0.7454658134467295,0.7520780447992325,0.7486484757427005,0.7452432564531,0.8044348125137003,0.7763693618046401,0.7681664835807087,0.7584422488438183
LUSTRE_STRIPE_SIZE,0.14977157381903333,0.19761594237122576,1.0,0.22239642236522064,0.05855420577430138,0.0004807852214287788,0.014559147967208155,0.19980175186545873,0.18551609426565513,0.22524864374280673,0.19007578553314314,0.1992759285594016,0.19437191441923005,0.18185346680112335,0.17780819143020957,0.19947131520744762,0.18176247654466046,0.03829518446669968,0.14452183684156672,0.1992373241781975,0.1796215638329898,0.14670864827519756,0.17079033547060576,0.052094322013137795,0.1761235396016058,0.13570265835619805,0.058995277566555926,0.030620832894475716,0.030267314739591447,0.19796452836084688,0.14329459220040236,0.11532078449830321,0.06729750136030145,0.10432610380606089,0.09279572451658391,0.07816491092976517,0.02821428421357424,0.22228509849639858,0.23632672952673142,0.20257908139420874,0.18617398590156833,0.19292782497712377,0.17252620177431444,0.18112644558724597,0.17060813203912212
LUSTRE_STRIPE_WIDTH,0.19789070999537478,0.25927158135459,0.22239642236522064,1.0,0.08738141096021981,0.0007157026731998579,0.017642256253867443,0.2272461938814658,0.21872847606242482,0.23851712473359118,0.24498000292200206,0.26003830440093245,0.24414255441670418,0.24134368856979171,0.22236246486621733,0.2243778262060087,0.21547378780715762,0.06030873077383808,0.18165535695127014,0.25852329774653926,0.23343978690348327,0.19976223580844044,0.21824286449003383,0.08894811376445966,0.2181146777808578,0.17180547123717968,0.08267488356351357,0.045819020959031405,0.056892312173012674,0.2146125316791234,0.1794286560749065,0.15515156151921927,0.1080997604473513,0.1339485198710502,0.1308293368494241,0.11627892145172912,0.05671501014192497,0.23557291033384659,0.24969379709231262,0.24031295616874324,0.22689496554409586,0.2267381819625108,0.2176805413140778,0.23074331748227564,0.21615715220998455
POSIX_FILENOS,0.5655584201705446,0.7743470214549263,0.05855420577430138,0.08738141096021981,1.0,0.0,0.2732149034806209,0.7249492288078488,0.7168934029164298,0.713520976005023,0.7201113576713802,0.7244392445153612,0.7173301836733091,0.7271430745976626,0.7165818658547193,0.7225950282878969,0.7162220630773555,0.49801459474681176,0.7031523708334838,0.7295120631785319,0.7080354889712961,0.6547403831406576,0.7138270118149949,0.5590454918178452,0.7091624820283807,0.6879015095452266,0.5429652527033093,0.48656860602719987,0.543274430859692,0.5384188874167826,0.5028161128915523,0.4895559647604206,0.49427863290328344,0.5314363387392775,0.4724890847742369,0.4624695888183434,0.42323116300605296,0.6244280476377501,0.6315504314309791,0.6333096661567075,0.635702916952807,0.6810568336524727,0.6764955504688814,0.6673836559748096,0.6529205860477652
POSIX_MEM_ALIGNMENT,0.0,0.0,0.0004807852214287788,0.0007157026731998579,0.0,1.0,0.0005686311992602571,0.00045471748304634754,0.0,0.0004597725922147184,0.0,6.97764384079125e-05,0.0,0.0,0.0,0.0,0.0,0.0008224551862180299,1.175564829492687e-05,0.0,0.0,0.0,0.0015327285810179045,0.0006679739540968031,0.0,0.0,0.0006309655844192618,0.001416823404566006,0.0006950860804501632,0.00034116154552144793,0.0009215901571550476,0.0010276779948841749,0.001033385611499676,0.0005542870147205763,0.0009117233399683287,0.0008970756741921849,0.0006964941628243592,5.797442548935681e-05,8.42974598553908e-05,0.0005541281314128962,0.00014783089137403386,0.0011480773801210067,0.0,0.0,0.0
POSIX_FILE_ALIGNMENT,0.17405319963578392,0.2744392965180656,0.014559147967208155,0.017642256253867443,0.2732149034806209,0.0005686311992602571,1.0,0.2650244895358255,0.25590078956258167,0.2592345407343749,0.25899983996448367,0.2724470549922546,0.25961736745195674,0.26846046199366586,0.2560219563888676,0.2610145754131262,0.2553600825504191,0.046149318947610686,0.25871388457098493,0.25946037688990187,0.2624343478887797,0.24536632537733452,0.2635457991101969,0.20433842871465896,0.25263961100106425,0.2374569800185845,0.21452520835506617,0.19629247559651408,0.18883118862794268,0.19459227919641728,0.20618602947892062,0.20481301375730449,0.20969607939372598,0.17307984207787927,0.19736330086645648,0.18170893545176786,0.16800577007813267,0.22222728325079708,0.235355828948385,0.24606703402815364,0.23671922009652674,0.24774203526532831,0.24404784306671606,0.24381086293026943,0.22476861777619103
POSIX_READS,0.6944994583130392,0.822311213256474,0.19980175186545873,0.2272461938814658,0.7249492288078488,0.00045471748304634754,0.2650244895358255,1.0,0.7957005949599266,0.8390185279033582,0.8127453830921441,0.8499363452814913,0.8014569581228623,0.853575471036391,0.7928831714414171,0.8642899542737331,0.794989665553415,0.572780362410946,0.8118626167744035,0.8133367098308839,0.8276915210580286,0.7806258495812977,0.821667962392485,0.631234609063183,0.7926642401290477,0.7595941386758535,0.5947987102530693,0.5563948752801197,0.5910619515311487,0.6585385446114156,0.6274224030073193,0.6005231363348041,0.5830056863817347,0.6557768938562547,0.592955202535511,0.5823921567176809,0.5309742709582115,0.7464013248262762,0.7535049719404828,0.7516461377912298,0.751036911850722,0.8117766441069378,0.7813069995510193,0.7698666506202717,0.7626535583974636
POSIX_WRITES,0.6450054547273008,0.8010432381439808,0.18551609426565513,0.21872847606242482,0.7168934029164298,0.0,0.25590078956258167,0.7957005949599266,1.0,0.8065768619483141,0.7897130286799776,0.8044394247366133,0.8379853806590598,0.7908154940585674,0.875286818718839,0.793711377816512,0.8846508008010657,0.5414108593621415,0.7609719453704528,0.838699412236948,0.778289658940113,0.7253669137054569,0.7737081620055507,0.6004654490884734,0.8493348243493261,0.7838691073000692,0.6023649260289768,0.558306742125159,0.6016040832194378,0.6279912376639212,0.5947990346026496,0.5711173435026861,0.5358989038280112,0.6261833298714378,0.5591668975462215,0.5469751208086577,0.4784178231688942,0.7208682962488722,0.7324415454523,0.7318870570541386,0.7302048899548982,0.783293921285153,0.7657353665704755,0.7620346567241939,0.7523439742443673
POSIX_SEEKS,0.7000642184444669,0.8368035129498556,0.22524864374280673,0.23851712473359118,0.713520976005023,0.0004597725922147184,0.2592345407343749,0.8390185279033582,0.8065768619483141,1.0,0.8316123310371923,0.8323276741032639,0.808408004565709,0.8240782765834125,0.799618208976323,0.8356943083211565,0.8056941137453626,0.5664041801076025,0.7904634817392691,0.8090275508545158,0.8247061671522031,0.7833604764851652,0.7980415715782982,0.6315122324612096,0.7974258344333377,0.7664236023750437,0.5819224936104892,0.5666987373132449,0.6075179335859244,0.6606086797327331,0.6208048475123084,0.5938485535214101,0.5725408657511102,0.6667646081538515,0.593391480460254,0.5812001797981022,0.5236882347306342,0.7489022205954915,0.7554845632752044,0.7471387585204976,0.7447452108692572,0.8160532113008537,0.7783468753570234,0.7685230336486104,0.7610909116663018
POSIX_STATS,0.6808894247386792,0.8432270039570808,0.19007578553314314,0.24498000292200206,0.7201113576713802,0.0,0.25899983996448367,0.8127453830921441,0.7897130286799776,0.8316123310371923,1.0,0.8091904247818997,0.792585118332771,0.812366789832556,0.7865232147430345,0.808884831241891,0.7889659733764822,0.559551469579256,0.7859333541310848,0.7981195630302774,0.8203136360316379,0.7769608951909897,0.788910820255677,0.6019205494027909,0.7858477269165522,0.7626649352924808,0.5758264156336306,0.5454431820287482,0.5819905224741747,0.6364750557468901,0.6009390761199453,0.5764722750125644,0.5455309004875015,0.62273536889997,0.5584986679236397,0.5376494181628629,0.46741324657188943,0.7389417750742792,0.7413491662965627,0.7429901976737536,0.7410764709458365,0.7937870163329525,0.7675982934260285,0.7604887531194072,0.7523658123889289
POSIX_BYTES_READ,0.7094836357760895,0.8216927467343222,0.1992759285594016,0.26003830440093245,0.7244392445153612,6.97764384079125e-05,0.2724470549922546,0.8499363452814913,0.8044394247366133,0.8323276741032639,0.8091904247818997,1.0,0.8196730783761608,0.8425662734383522,0.8017741596893484,0.8479138505562445,0.8037809085174953,0.5796766971880313,0.81221961534062,0.8153151776181495,0.8187436350706877,0.7740718272222471,0.8289757000742837,0.6436615899784026,0.801612974476068,0.7683364718284201,0.6059753903278889,0.5697358572995196,0.6054794399297923,0.681200107622663,0.6545610636559774,0.6271677639368011,0.6088840330867423,0.6690822699646065,0.6152239821060703,0.6034389038306777,0.5461245396917815,0.7580567607410312,0.7653121285644663,0.762412752968461,0.7619910331909787,0.8105241737345615,0.7863308676885541,0.7774683562144683,0.7697019247387563
